公司代码	公司简称	A股代码	A股简称	A股上市日期	B股代码	B股 简 称	B股上市日期	城 市
000806	银河科技	806	银河科技	1998-4-16	　	　	　	北海市
000807	云铝股份	807	云铝股份	1998-4-8	　	　	　	昆明市
000809	中汇医药	809	中汇医药	1998-6-16	　	　	　	成都市
000810	华润锦华	810	华润锦华	1998-6-2	　	　	　	遂宁市
000811	烟台冰轮	811	烟台冰轮	1998-5-28	　	　	　	烟台市
000812	陕西金叶	812	陕西金叶	1998-6-23	　	　	　	西安市
000813	天山纺织	813	天山纺织	1998-5-19	　	　	　	乌鲁木齐市
000815	美利纸业	815	美利纸业	1998-6-9	　	　	　	银川市
000816	江淮动力	816	江淮动力	1997-8-18	　	　	　	盐城市
000818	锦化氯碱	818	ST锦化	1997-10-17	　	　	　	葫芦岛市
000819	岳阳兴长	819	岳阳兴长	1997-6-25	　	　	　	岳阳市
000820	金城股份	820	金城股份	1998-6-30	　	　	　	锦州市
000821	京山轻机	821	京山轻机	1998-6-26	　	　	　	荆门市
000822	山东海化	822	山东海化	1998-7-3	　	　	　	潍坊市
000823	超声电子	823	超声电子	1997-10-8	　	　	　	汕头市
000825	太钢不锈	825	太钢不锈	1998-10-21	　	　	　	太原市
000826	合加资源	826	合加资源	1998-2-25	　	　	　	宜昌市
000828	东莞控股	828	东莞控股	1997-6-17	　	　	　	东莞市
000829	天音控股	829	天音控股	1997-12-2	　	　	　	赣州市
000830	鲁西化工	830	鲁西化工	1998-8-7	　	　	　	聊城市
000831	关铝股份	831	关铝股份	1998-9-11	　	　	　	运城市
000833	贵糖股份	833	贵糖股份	1998-11-11	　	　	　	贵港市
000835	四川圣达	835	四川圣达	1999-6-25	　	　	　	成都市
000836	鑫茂科技	836	鑫茂科技	1997-9-29	　	　	　	天津市
000837	秦川发展	837	秦川发展	1998-9-28	　	　	　	宝鸡市
000838	国兴地产	838	国兴地产	1997-6-26	　	　	　	德阳市
000839	中信国安	839	中信国安	1997-10-31	　	　	　	北京市
000848	承德露露	848	承德露露	1997-11-13	　	　	　	承德市
000850	华茂股份	850	华茂股份	1998-10-7	　	　	　	安庆市
000851	高鸿股份	851	高鸿股份	1998-6-9	　	　	　	贵阳市
000852	江钻股份	852	江钻股份	1998-11-26	　	　	　	武汉市
000856	唐山陶瓷	856	*ST 唐陶	1998-8-13	　	　	　	唐山市
000858	五 粮 液	858	五 粮 液	1998-4-27	　	　	　	宜宾市
000859	国风塑业	859	国风塑业	1998-11-19	　	　	　	合肥市
000860	顺鑫农业	860	顺鑫农业	1998-11-4	　	　	　	北京市
000861	海印股份	861	海印股份	1998-10-28	　	　	　	广州市
